"Women", "Жени"
"Men", "Мъже"
"Accessories", "Аксесоари"
"Home & Decor", "Дом и интериор"
"Sale", "Разпродажби"
"VIP", "Вип"
"Name", "Име"
"Phone", "Телефон"
"Age", "Възраст"
"Email", "Имейл"
"Submit", "Изпрати"
"KristinaKovacheva", "КристинаКовачева"
"Add new", "Добави нов"
"Submission ID", "Входящ номер"
"Search", "Търси"
"Reset Filter", "Махни филтър"
"Page", "Страница"
"View", "Виж"
"of %s pages", "от %s страници"
"per page", "на страница"
"Total %s records found", "Общо %s намерени записа"
"From", "От"
"To", "До"
"The submission has been saved!", "Входираните данни са успешно записани!"
"This submission has been deleted!", "Данните бяха изтрити успешно!"
"This submission no longer exists!", "Този запис вече не съществува"
"You just entered new submission!", "Току що въведе нов запис!"