"--- Select object ---","--- Objekt auswählen ---"
"--- Select reason code ---","--- Reason code auswählen ---"
"--- Select state to simulate ---","--- Simulationsstatus auswählen ---"
"-OR-","-ODER-"
"""Amazon Pay"" button color","""Amazon Pay""-Button Farbe"
"""Amazon Pay"" button size","""Amazon Pay""-Button Größe"
"""Amazon Pay"" button type","""Amazon Pay""-Button Typ"
"""Login with Amazon"" button color","""Login mit Amazon""-Button Farbe"
"""Login with Amazon"" button size","""Login mit Amazon""-Button Größe"
"""Login with Amazon"" button type","""Login mit Amazon""-Button Typ"
"%s API Call | %s","%s API Aufruf | %s"
"* Required Fields","* Pflichtfelder"
"... or enter your Amazon Payments account information manually","... oder geben Sie die Details zu Ihrem Amazon Payments Konto manuell ein"
"<div id=""creative-system-config"">creativestyle Extensions</div>","<div id=""creative-system-config"">creativestyle Erweiterungen</div>"
"<span class=""close"">Click to reveal config for </span>%s","<span class=""close"">Hier klicken, um Ihre Konfiguration für </span>%s<span class=""close""> anzuzeigen</span>"
"<span class=""close"">Click to reveal your </span>Amazon Seller Central config","<span class=""close"">Hier klicken, um Ihre </span>Konfiguration für Amazon Seller Central<span class=""close""> anzuzeigen</span>"
"<strong>Amazon Pay</strong> helps you shop quickly, safely and securely. You can pay on our website without re-entering your payment and address details.","Mit <strong>Amazon Pay</strong> können Sie die in Ihrem Amazon-Account hinterlegten Zahlungs- und Versandinformationen nutzen, um schnell und sicher einzukaufen."
"<strong>Amazon Pay</strong> helps you shop quickly, safely and securely. You can pay on our website without re-entering your payment and address details. All Amazon transactions are protected by Amazon&apos;s A-to-z Guarantee.","Mit <strong>Amazon Pay</strong> können Sie die in Ihrem Amazon-Account hinterlegten Zahlungs- und Versandinformationen nutzen, um schnell und sicher einzukaufen. Zudem genießen Sie den Käuferschutz, den Amazon mit der A-bis-z-Garantie bietet."
"1 day","1 Tag"
"1 hour","1 Stunde"
"10 minutes","10 Minuten"
"12 hours","12 Stunden"
"14 days","14 Tage"
"15 days","15 Tage"
"15 minutes","15 Minuten"
"2 days","2 Tage"
"2 hours","2 Stunden"
"3 days","3 Tage"
"30 days","30 Tage"
"30 minutes","30 Minuten"
"4 hours","4 Stunden"
"5 minutes","5 Minuten"
"7 days","7 Tage"
"8 hours","8 Stunden"
"A capture of %s has been processed by Amazon Payments (%s). The new status is %s.","Eine Belastung (Capture) über %s wurde von Amazon Payments bearbeitet (%s). Der neue Status ist %s."
"A refund of %s has been processed by Amazon Payments (%s). The new status is %s.","Eine Rückerstattung (Refund) über %s wurde von Amazon Payments bearbeitet (%s). Der neue Status ist %s."
"Access Key ID","Zugriffsschlüssel-ID"
"Account information can be found <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/hz/me/integration/details"">here</a>","Kontoinformationen finden Sie <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/hz/me/integration/details"">hier</a>"
"Action","Aktion"
"Add New","Neu hinzufügen"
"Address widget height","Höhe Addressbuchwidget"
"Address widget width","Breite Addressbuchwidget"
"Allowed IPs (comma separated)","Erlaubte IPs (Kommagetrennt)"
"Allowed JavaScript Origins","Zulässige JavaScript-Ursprünge"
"Allowed Return URLs","Zulässige Rückgabe-URLs"
"Amazon Cronjobs","Amazon-Cronjobs"
"Amazon logo","Amazon-Logo"
"Amazon Order Reference ID: %s","Amazon Bestellreferenz: %s"
"Amazon Order Reference ID: <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/hz/me/pmd/payment-details?orderReferenceId=%s"">%s</a>","Amazon Bestellreferenz: <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/hz/me/pmd/payment-details?orderReferenceId=%s"">%s</a>"
"Amazon Pay","Amazon Pay"
"Amazon Pay (Sandbox)","Amazon Pay (Sandbox)"
"Amazon Pay and Login with Amazon","Amazon Pay und Login mit Amazon"
"Amazon Pay and Login with Amazon settings","Einstellungen für Amazon Pay und Login mit Amazon"
"Amazon Pay API Call","Amazon Pay API Aufruf"
"Amazon Pay API Calls","Amazon Pay API Aufrufe"
"Amazon Pay Exception","Amazon Pay Exception"
"Amazon Pay Exception | %s","Amazon Pay Exception | %s"
"Amazon Pay Exceptions","Amazon Pay Exceptions"
"Amazon Payments Account","Amazon Payments Konto"
"Amazon Seller Central","Amazon Seller Central"
"An authorization of %s has been processed by Amazon Payments (%s). The new status is %s.","Eine Autorisierung über %s wurde von Amazon Payments bearbeitet (%s). Der neue Status ist %s."
"An order of %s has been processed by Amazon Payments (%s). The new status is %s.","Eine Bestellung über %s wurde von Amazon Payments bearbeitet (%s). Der neue Status ist %s."
"API Call details","API-Aufrufdetails"
"Appearance Settings","Gestaltungseinstellungen"
"Appearance Settings for Amazon Pay and Login with Amazon","Gestaltungseinstellungen für Amazon Pay und Login mit Amazon"
"Appearance Settings for standalone Amazon Pay","Gestaltungseinstellungen nur für Amazon Pay"
"Asynchronous","Asynchron"
"Authentication Experience","Login Experience"
"Authorization Processing Mode","Autorisierungsmodus"
"Authorize","Autorisieren"
"Authorize & capture","Autorisieren & erfassen"
"Auto","Auto"
"Back","Zurück"
"By selecting Login with Amazon, you will be asked to sign-in securely to your Amazon account without leaving the shop.","Wenn Sie Login mit Amazon nutzen, müssen Sie im Webshop kein Kundenkonto einrichten, sondern können sich direkt mit den Daten aus Ihrem Amazon-Konto anmelden."
"Cancel","Abbrechen"
"Choose your payment region and click to quick-register.","Bitte wählen Sie, für welche Region Sie den Shop bzw. den Amazon Payments Account nutzen wollen. Diese Wahl legt auch die Währung (EUR oder GBP) fest, die Sie von den Kunden einziehen können."
"Client ID","Client ID"
"Code","Code"
"Common Appearance Settings","Allgemeine Gestaltungseinstellungen"
"Congratulations! Your Amazon Payments account settings seem to be OK.","Glückwunsch! Ihre Amazon Payments Kontoinformationen sind korrekt."
"Copy your keys from Seller Central (JSON) and paste them here","Bitte kopieren Sie Ihre Zugangsdaten von Seller Central (JSON Format) und fügen Sie diese hier ein"
"creativestyle Extensions","creativestyle Erweiterungen"
"Dark gray","Dunkelgrau"
"Data polling frequency","Datenpollingfrequenz"
"Date","Datum"
"Dear buyer, it looks like you already have an account in this shop. Please enter the password for your shop account here for once to make sure you are the authorized user of this account. We will not ask you for this anymore afterwards.","Sehr geehrter Kunde, es scheint als existiere bereits ein Account für Sie in diesem Shop. Wir können kein zweites Konto mit den gleichen Daten anlegen und werden diese daher zusammenlegen. Bitte geben Sie das Passwort für dieses bereits vorhandene Konto ein um sicherzustellen, dass Sie der rechtmäßige Eigentümer sind. Bitte geben Sie nicht erneut Ihr Amazon-Passwort ein. Dies ist eine einmalige Abfrage, Sie werden nach der Zusammenlegung diese Meldung nicht wieder sehen."
"Debug data","Debug Data"
"Declined Payment Email Sender","Absender für die Email für abgelehnte Zahlungen"
"Declined Payment Email Template","Email Template für abgelehnte Zahlungen"
"Developer Options","Entwickler Optionen"
"Display Language","Sprache"
"Don't have a merchant account yet? Register here","Sie haben noch kein Amazon Payments Verkäuferkonto? Dann registrieren Sie sich bitte hier"
"Download as CSV","Herunterladen als CSV"
"Each logfile will be rotated when it exceeds size of 8 Megabytes","Sobald 8 Megabyte überschritten werden, wird eine neue Datei erstellt."
"Email Options","Email Optionen"
"Enable Amazon Pay","Amazon Pay aktivieren"
"Enable Instant Payment Notifications","Instant Payment Notifications aktiviert"
"Enable logging","Logging einschalten"
"Enable Login with Amazon","Login mit Amazon aktivieren"
"English","Englisch"
"Enter a value between 200 and 600 pixels. For one-column widget please enter width less than 400.","Geben Sie einen Wert zwischen 200 und 600 Pixel. Für ein einspaltiges Widget geben Sie bitte ein Breite von weniger als 400 ein."
"Enter a value between 228 and 400 pixels","Geben Sie einen Wert zwischen 228 und 400 Pixel"
"ERP mode","ERP Modus"
"Eurozone","Eurozone"
"Event Observers","Event Observers"
"Exception code","Ausnahmecode"
"Exception details","Ausnahmedetails"
"Exception message","Ausnahmenachricht"
"Extension documentation","Erweiterungsdokumentation"
"Extracted XML message","Ausgelesene XML Nachricht"
"French","Französich"
"General Info","Allgemeine Infos"
"General Settings","Allgemeine Einstellungen"
"German","Deutsch"
"Germany","Deutschland"
"Gold","Golden"
"http://www.creativestyle.net","http://www.creativestyle.de"
"http://www.creativestyle.net/services/magento.html","http://www.creativestyle.de/leistungen/magento.html"
"In Sandbox Mode you can simulate certain states of selected payment objects.","Im Sandbox Modus können Sie verschiedene Statuswerte von bestimmten Zahlungsobjekten simulieren."
"Installed Magento extensions","Installierte Magento Erweiterungen"
"Installed PHP modules","Installierte PHP Module"
"Invalid password","Falsches Passwort"
"IPN %s | %s","IPN %s | %s"
"IPN endpoint URL","IPN Endpunkt URL"
"IPN Notification","IPN Nachricht"
"IPN Notifications","IPN Nachrichten"
"Italian","Italienisch"
"Large","Groß"
"Leave empty for access from any location","Leer lassen für den Zugriff von jedem beliebigen Standort"
"Light gray","Hellgrau"
"Login","Login"
"Login with Amazon","Login mit Amazon"
"Magento Settings","Magento-Einstellungen"
"Manual authorization","Manuel autorisieren"
"Marketplace","Marktplatz"
"Medium","Mittel"
"Merchant ID","Händlernummer"
"Message","Nachricht"
"More about <em>creativestyle</em>","Mehr über <em>creativestyle</em>"
"New order status","Neuer Bestellstatus"
"Next page","Nächste Seite"
"No, use data polling instead","Nein, data polling anstelle benutzen"
"Notification type","Nachrichtentyp"
"of %s pages","von %s Seiten"
"Orange (recommended)","Orange (empfohlen)"
"Order status on authorization","Status der Bestellung nach der Autorisierung"
"Page","Seite"
"Pay","Bezahlen"
"Payment Action","Zahlungsvorgang"
"Payment Region","Zahlungsregion"
"per page","pro Seite"
"Please agree to all the terms and conditions before placing the order.","Bitte den Geschäftsbedingungen zustimmen vor dem Abschluss der Bestellung."
"Please enter this URL in the <strong>Allowed JavaScript Origins</strong> field of the <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/gp/pyop/seller/account/settings/user-settings-view.html"">Control Panel</a> in your Amazon Seller Central.","Geben Sie diese URL in das Feld <strong>Zulässige JavaScript-Ursprünge</strong> in Ihren <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/gp/pyop/seller/account/settings/user-settings-view.html"">Einstellungen</a> für Amazon Seller Central."
"Please enter this URL in the <strong>Allowed Return URLs</strong> field of the <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/gp/pyop/seller/account/settings/user-settings-view.html"">Control Panel</a> in your Amazon Seller Central.","Geben Sie diese URL in das Feld <strong>Zulässige Rückgabe-URLs</strong> in Ihren <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/gp/pyop/seller/account/settings/user-settings-view.html"">Einstellungen</a> für Amazon Seller Central ein."
"Please enter this URL in the <strong>Merchant URL</strong> field of the <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/gp/pyop/seller/account/settings/user-settings-view.html"">Integration Settings</a> in your Amazon Seller Central.","Diese URL bitte in dem Feld <strong>Händler-URL</strong> in den <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/gp/pyop/seller/account/settings/user-settings-view.html"">Integrationseinstellungen</a> in der Amazon Sellercentral einstellen."
"Please fill in required data that cannot be retrieved from your Amazon account.","Bitte füllen Sie folgende obligatorische Felder aus die wir nicht aus dem Amazon Konto übernehmen konnten."
"Please note that the total amount of the order will be charged at order placement.","Bitte beachten Sie dass der komplette Betrag bei Bestellung belastet wird."
"Please provide all required data.","Bitte füllen Sie die obligatorischen Felder aus."
"Pop-up","Pop-up"
"Preview","Vorschau"
"Query","Abfrage"
"Quick-register Merchant account","Schnellregistrierung eines Händlerkontos"
"Redirect","Weiterleitung"
"Redirecting, please wait...","Ein Moment bitte, Sie werden weitergeleitet..."
"Request Body","Anfrage Body"
"Request Headers","Anfrage Headers"
"Response","Antwort"
"Response code","Antwort Code"
"Response headers","Antwort Headers"
"Sandbox Mode","Sandbox-Modus"
"Sandbox Toolbox","Sandkasten-Toolbox"
"Secret Access Key","Geheimen Zugriffsschlüssel"
"Select appropriate store view scope to display IPN endpoint URL","Bitte den richtigen Konfigurationsumfang in der Liste der Läden auswählen um die IPN endpoint URLs anzuzeigen."
"Select whether an email confirmation for newly placed orders shall be sent by the shop","Auswählen ob eine Bestätigungsemail für neue Bestellungen durch den Shop verschickt wird."
"Seller Central configuration","Konfiguration für Seller Central"
"Send order confirmation","Bestellbestätigung"
"Settings","Einstellungen"
"Show Sandbox Toolbox","Sandbox Toolbox anzeigen"
"Small","Klein"
"Spanish","Spanisch"
"Stack trace","Stack trace"
"Store Options","Store Options"
"Store name","Store name"
"Stores","Stores"
"Synchronous","Synchron"
"Tan","Beige"
"There has been a problem with the selected payment method from your Amazon account, please choose another payment method from you Amazon account or return to the cart to choose another checkout method.","Es gab ein Problem mit der ausgewählten Zahlungsart aus ihrem Amazon Konto. Bitte wählen Sie eine andere Zahlungsart aus Ihrem Amazon Konto oder wählen Sie einen anderen Checkout im Warenkorb."
"There has been a problem with the selected payment method from your Amazon account, please update the payment method or choose another one.","Es gab ein Problem mit der ausgewählten Zahlungsart aus ihrem Amazon Konto. Bitte ändern Sie die gewünschte Zahlungsart oder legen Sie eine neue Zahlungsart an."
"There was an error processing your order. Please contact us or try again later.","Bei der Verarbeitung Ihrer Bestellung ist ein Fehler aufgetreten. Kontaktieren Sie uns oder probieren Sie es bitte später erneut."
"This extension integrates easily your Magento shop with Amazon Pay service.","Die Erweiterun integriert den ""Amazon Pay und Login mit Amazon"" Service in ihren Magento Shop."
"This feature requires valid SSL certificate to be installed on this server. Pay attention that the SSL certificate must be issued by a trusted Certificate Authority, self-signed certificates are not permitted.","Diese Funktion erfordert die Installation eines gültigen SSL-Zertifikats auf Ihrem Server. Achten Sie darauf, dass das SSL-Zertifikat von einer vertrauenswürdigen Zertifizierungsstelle ausgestellt wird. Selbst signierte Zertifikate sind nicht gestattet."
"This is not valid Seller Central configuration JSON","Das ist keine gültige Konfiguration für Seller Central (JSON)"
"Total %d records found","Total %d Einträge gefunden"
"United Kingdom","Vereinigtes Königreich"
"United States","Vereinigte Staaten"
"URL","URL"
"Use quick configuration option...","Nutzen Sie die Option zur Schnellkonfiguration ..."
"Use responsive widgets","Nutzen Sie reaktionsfähige Widgets"
"Use these credentials","Diese Zugangsdaten verwenden"
"Use these credentials and save","Diese Zugangsdaten verwenden und speichern"
"Use your Amazon Account","Melden Sie sich mit ihrem Amazon Konto an"
"Validate Amazon Payments account","Amazon Payments Konto validieren"
"View","Ansicht"
"Wallet widget height","Höhe Zahlartenwidget"
"Wallet widget width","Breite Zahlartenwidget"
"Whether to show a toolbox in the checkout for simulating different payment scenarios.","Auswahl ob die Toolbox zum simulieren von verschiedenen Zahlungsscenarios (inklusive Ablehnungen) im Sandbox Modus angezeigt wird"
"Whoops! Your Access Key ID seems to be invalid.","Whoops! Ihre Access Key ID ist nicht korrekt."
"Whoops! Your Merchant ID seems to be invalid.","Whoops! Ihre Händlernummer ist nicht korrekt."
"Whoops! Your Secret Access Key seems to be invalid.","Whoops! Ihr Secret Access Key ist nicht korrekt."
"With Amazon Pay, you can use the shipping and payment information stored in your Amazon account to place an order on this website. It's a convenient and trusted way to pay that's enjoyed by millions of people.","Mit Amazon Pay können Sie im Webshop mit den Zahlungs- und Versandinformationen aus Ihrem Amazon-Kundenkonto bezahlen. Das macht Einkaufen bei uns schnell, einfach und sicher."
"X-Large","Sehr groß"
"You have aborted the login with Amazon. Please contact us or try again.","Sie haben den Login mit Amazon abgebrochen. Kontaktieren Sie uns oder probieren Sie es bitte später erneut."
"Your language","Ihre Sprache"
