"--- Select object ---","--- Seleccionar objeto ---"
"--- Select reason code ---","--- Seleccionar razón de rechazo ---"
"--- Select state to simulate ---","--- Seleccionar estado a simular ---"
"-OR-","-O BIEN-"
"""Amazon Pay"" button color","""Amazon Pay""-Color del botón"
"""Amazon Pay"" button size","""Amazon Pay""-Tamaño del botón"
"""Amazon Pay"" button type","""Amazon Pay""-Tipo de botón"
"""Login with Amazon"" button color","""Login con Amazon""-Color del botón"
"""Login with Amazon"" button size","""Login con Amazon""-Tamaño del botón"
"""Login with Amazon"" button type","""Login con Amazon""-Tipo de botón"
"%s API Call | %s","%s Llamada API | %s"
"* Required Fields","* Campos obligatorios"
"... or enter your Amazon Payments account information manually","... o introduce los datos de tu cuenta de Amazon Payments manualmente"
"<div id=""creative-system-config"">creativestyle Extensions</div>","<div id=""creative-system-config"">creativestyle Extensions</div>"
"<span class=""close"">Click to reveal config for </span>%s","<span class=""close"">Haz clic para revelar la configuración de </span>%s"
"<span class=""close"">Click to reveal your </span>Amazon Seller Central config","<span class=""close"">Haz clic para revelar tu </span>configuración de Amazon Seller Central"
"<strong>Amazon Pay</strong> helps you shop quickly, safely and securely. You can pay on our website without re-entering your payment and address details.","Con <strong>Amazon Pay</strong> puedes comprar rápido, de manera efectiva y segura. Puedes pagar en nuestra página sin tener que volver a introducir tu dirección y datos de pago."
"<strong>Amazon Pay</strong> helps you shop quickly, safely and securely. You can pay on our website without re-entering your payment and address details. All Amazon transactions are protected by Amazon&apos;s A-to-z Guarantee.","Con <strong>Amazon Pay</strong> puedes comprar rápido, de manera efectiva y segura. Puedes pagar en nuestra página sin tener que volver a introducir tu dirección y datos de pago. Las transacciones con Amazon están protegidas por la Garantía de la A a"
"1 day","1 día"
"1 hour","1 hora"
"10 minutes","10 minutos"
"12 hours","12 horas"
"14 days","14 días"
"15 days","15 días"
"15 minutes","15 minutos"
"2 days","2 días"
"2 hours","2 horas"
"3 days","3 días"
"30 days","30 días"
"30 minutes","30 minutos"
"4 hours","4 horas"
"5 minutes","5 minutos"
"7 days","7 días"
"8 hours","8 horas"
"A capture of %s has been processed by Amazon Payments (%s). The new status is %s.","Una captura de %s ha sido procesada por Amazon Payments (%s). El nuevo estado es %s."
"A refund of %s has been processed by Amazon Payments (%s). The new status is %s.","Amazon Payments (%s) ha procesado un reembolso de %s. El nuevo estado es %s."
"Access Key ID","ID de clave de acceso"
"Account information can be found <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/hz/me/integration/details"">here</a>","Información sobre la cuenta <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/hz/me/integration/details"">hier</a>"
"Action","Acción"
"Add New","Añadir nuevo"
"Address widget height","Altura del Widget de direcciones"
"Address widget width","Anchura del Widget de direcciones"
"Allowed IPs (comma separated)","IPs permitidas (separadas por coma)"
"Allowed JavaScript Origins","Orígenes de JavaScript permitidos"
"Allowed Return URLs","Direcciones URL de retorno permitidas"
"Amazon Cronjobs","Cronjobs Amazon"
"Amazon logo","Logo de Amazon"
"Amazon Order Reference ID: %s","Numero de orden de referencia de Amazon: %s"
"Amazon Order Reference ID: <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/hz/me/pmd/payment-details?orderReferenceId=%s"">%s</a>","Numero de orden de referencia de Amazon: <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/hz/me/pmd/payment-details?orderReferenceId=%s"">%s</a>"
"Amazon Pay","Amazon Pay"
"Amazon Pay (Sandbox)","Amazon Pay (Sandbox)"
"Amazon Pay and Login with Amazon","Amazon Pay y Login con Amazon"
"Amazon Pay and Login with Amazon settings","Configuración de Amazon Pay y Login con Amazon"
"Amazon Pay API Call","Amazon Pay - llamada API"
"Amazon Pay API Calls","Amazon Pay - llamadas API"
"Amazon Pay Exception","Amazon Pay - Excepción"
"Amazon Pay Exception | %s","Amazon Pay - Excepción | %s"
"Amazon Pay Exceptions","Amazon Pay - Excepciones"
"Amazon Payments Account","Cuenta de Amazon Payments"
"Amazon Seller Central","Amazon Seller Central"
"An authorization of %s has been processed by Amazon Payments (%s). The new status is %s.","Una autorización de %s ha sido procesada por Amazon Payments (%s). El nuevo estado es %s."
"An order of %s has been processed by Amazon Payments (%s). The new status is %s.","Un pedido de %s ha sido procesada por Amazon Payments (%s). El nuevo estado es %s."
"API Call details","Detalles de las llamadas API"
"Appearance Settings","Configuración de apariencia"
"Appearance Settings for Amazon Pay and Login with Amazon","Configuración de apariencia de Amazon Pay y Login con Amazon"
"Appearance Settings for standalone Amazon Pay","Configuración de apariencia de Amazon Pay si Login con Amazon está desactivado"
"Asynchronous","Asíncrono"
"Authentication Experience","Experiencia de autentificación"
"Authorization Processing Mode","Modo de procesado de la autorización"
"Authorize","Autorizar"
"Authorize & capture","Autorizar & capturar"
"Auto","Automático"
"Back","Atrás"
"By selecting Login with Amazon, you will be asked to sign-in securely to your Amazon account without leaving the shop.","Al seleccionar Login con Amazon, tendrás que iniciar sesión con seguridad en tu cuenta de Amazon sin salir de la tienda."
"Cancel","Cancelar"
"Choose your payment region and click to quick-register.","Elige tu regigión de pago y haz click para registrarse rápidamente."
"Client ID","Client ID"
"Code","Código"
"Common Appearance Settings","Configuración General de Apariencia"
"Congratulations! Your Amazon Payments account settings seem to be OK.","¡Enhorabuena! Parece que la configuración de tu cuenta de Amazon Payments es correcta."
"Copy your keys from Seller Central (JSON) and paste them here","Copia las claves de Seller Central (JSON) y pégalas aquí"
"creativestyle Extensions","Extensiones creativestyle"
"Dark gray","Gris oscuro"
"Data polling frequency","Frecuencia de polling de datos"
"Date","Fecha"
"Dear buyer, it looks like you already have an account in this shop. Please enter the password for your shop account here for once to make sure you are the authorized user of this account. We will not ask you for this anymore afterwards.","Querido vendedor, parece que todavía tienes una cuenta en esta tienda. Por favor, inserta tu contraseña aquí para verificar que eres el usuario autorizado de la cuenta. No se te solicitará esta información de nuevo en el futuro."
"Debug data","Debug datos"
"Declined Payment Email Sender","Remitente del email de pago"
"Declined Payment Email Template","Plantilla del email de pago rechazado"
"Developer Options","Opciones de desarrollo"
"Display Language","Mostrar idioma"
"Don't have a merchant account yet? Register here","¿Aún no tienes una cuenta de vendedor? Registrate aquí"
"Download as CSV","Descargar en formato CSV"
"Each logfile will be rotated when it exceeds size of 8 Megabytes","Un nuevo archivo se generará al sobrepasar 8 Megabytes"
"Email Options","Opciones de email"
"Enable Amazon Pay","Activar Amazon Pay"
"Enable Instant Payment Notifications","Activar IPNs - Instant Payment Notifications"
"Enable logging","Activar Logs"
"Enable Login with Amazon","Activar Login con Amazon"
"English","Inglés"
"Enter a value between 200 and 600 pixels. For one-column widget please enter width less than 400.","Introduce un valor entre 200 y 600 píxels. Para widgets de una única columna, introduce una anchura menor que 400 píxels."
"Enter a value between 228 and 400 pixels","Introduce un valor entre 228 y 400 píxels"
"ERP mode","Modo ERP"
"Eurozone","Eurozona"
"Event Observers","Observadores de eventos"
"Exception code","Código de excepción"
"Exception details","Detalles de excepción"
"Exception message","Mensaje de excepción"
"Extension documentation","Documentación de extensión"
"Extracted XML message","Mensaje XML extraído"
"French","Francés"
"General Info","Información General"
"General Settings","Configuración General"
"German","Alemán"
"Germany","Alemania"
"Gold","Dorado"
"http://www.creativestyle.net","http://www.creativestyle.net"
"http://www.creativestyle.net/services/magento.html","http://www.creativestyle.net/services/magento.html"
"In Sandbox Mode you can simulate certain states of selected payment objects.","En modo Sandbox puedes simular algunos estados de los objetos de pago"
"Installed Magento extensions","Extensiones de Magento instaladas"
"Installed PHP modules","Módulos PHP instalados"
"Invalid password","Contraseña no válida"
"IPN %s | %s","IPN %s | %s"
"IPN endpoint URL","URL para IPNs"
"IPN Notification","Notificación IPN"
"IPN Notifications","Notificaciones IPN"
"Italian","Italiano"
"Large","Grande"
"Leave empty for access from any location","Dejar vacío para permitir acceso desde cualquier lugar"
"Light gray","Gris claro"
"Login","Login"
"Login with Amazon","Login con Amazon"
"Magento Settings","Configuración de Magento"
"Manual authorization","Autorización manual"
"Marketplace","Marketplace"
"Medium","Medio"
"Merchant ID","ID del vendedor"
"Message","Mensaje"
"More about <em>creativestyle</em>","Más información sobre <em>creativestyle</em>"
"New order status","Estado para pedidos nuevos"
"Next page","Siguiente página"
"No, use data polling instead","No, usar polling en su lugar"
"Notification type","Tipo de Notificación"
"of %s pages","de %s páginas"
"Orange (recommended)","Naranja (recomendado)"
"Order status on authorization","Estado del pedido tras autorización"
"Page","Página"
"Pay","Pago"
"Payment Action","Acción de pago"
"Payment Region","Región de pago"
"per page","por página"
"Please agree to all the terms and conditions before placing the order.","Por favor, acepte todos los términos y condiciones antes de confirmar el pedido"
"Please enter this URL in the <strong>Allowed JavaScript Origins</strong> field of the <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/gp/pyop/seller/account/settings/user-settings-view.html"">Control Panel</a> in your Amazon Seller Central.","Introduce esta dirección URL en el campo <strong>Orígenes de JavaScript permitidos</strong> del <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/gp/pyop/seller/account/settings/user-settings-view.html"">Panel de control</a> de tu cuenta de Seller Central."
"Please enter this URL in the <strong>Allowed Return URLs</strong> field of the <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/gp/pyop/seller/account/settings/user-settings-view.html"">Control Panel</a> in your Amazon Seller Central.","Introduce esta dirección URL en el campo <strong>Direcciones URL de retorno permitidas</strong> del <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/gp/pyop/seller/account/settings/user-settings-view.html"">Panel de control</a> de tu cuenta Seller Central."
"Please enter this URL in the <strong>Merchant URL</strong> field of the <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/gp/pyop/seller/account/settings/user-settings-view.html"">Integration Settings</a> in your Amazon Seller Central.","Por favor, introduce esta URL en el campo <strong>Merchant URL</strong> de <a target=""""_blank"""" href=""""https://sellercentral-europe.amazon.com/gp/pyop/seller/account/settings/user-settings-view.html"""">Configuración de Integración</a> en tu cuenta de Seller Central."
"Please fill in required data that cannot be retrieved from your Amazon account.","Introduce la información necesaria que no se pueda extraer de tu cuenta de Amazon."
"Please note that the total amount of the order will be charged at order placement.","Por favor, tenga en cuenta que el importe total será cargardo una vez que el pedido esté listo para ser enviado"
"Please provide all required data.","Introduce toda la información necesaria."
"Pop-up","Ventana emergente"
"Preview","Vista previa"
"Query","Consulta"
"Quick-register Merchant account","Registro rápido de cuenta de vendedor"
"Redirect","Redireccionar"
"Redirecting, please wait...","Redirigiendo, espere por favor..."
"Request Body","Solicitar cuerpo"
"Request Headers","Solicitar encabezados"
"Response","Respuesta"
"Response code","Código de respuesta"
"Response headers","Encabezados de respuesta"
"Sandbox Mode","Modo Sandbox"
"Sandbox Toolbox","Herramientas de Sandbox"
"Secret Access Key","Clave de acceso secreta"
"Select appropriate store view scope to display IPN endpoint URL","Por favor, selecciona la vista de configuración de tienda apropiada para mostrar tu URL para IPNs"
"Select whether an email confirmation for newly placed orders shall be sent by the shop","Seleccionar para enviar un email de confirmación desde la tienda para pedidos nuevos"
"Seller Central configuration","Configuración de Seller Central"
"Send order confirmation","Enviar confirmación de pedido"
"Settings","Configuración"
"Show Sandbox Toolbox","Mostrar herramientas de Sandbox"
"Small","Pequeño"
"Spanish","Español"
"Stack trace","Stack trace"
"Store Options","Store Options"
"Store name","Store name"
"Stores","Tiendas"
"Synchronous","Síncrono"
"Tan","Tan"
"There has been a problem with the selected payment method from your Amazon account, please choose another payment method from you Amazon account or return to the cart to choose another checkout method.","Se ha producido un problema con el método de pago seleccionado en tu cuenta de Amazon. Selecciona otro método de pago o vuelve a la cesta para seleccionar otro método de finalización de la compra."
"There has been a problem with the selected payment method from your Amazon account, please update the payment method or choose another one.","Se ha producido un problema con el método de pago seleccionado en tu cuenta de Amazon. Actualiza el método de pago o selecciona otro."
"There was an error processing your order. Please contact us or try again later.","Se ha producido un error al procesar su pedido. Por favor, contáctenos o inténtelo de nuevo más tarde."
"This extension integrates easily your Magento shop with Amazon Pay service.","Esta extensión integra de manera sencilla tu tienda Magento con el Servicio de Amazon Pay"
"This feature requires valid SSL certificate to be installed on this server. Pay attention that the SSL certificate must be issued by a trusted Certificate Authority, self-signed certificates are not permitted.","Esta feature require que un certificado SSL esté instalado en el servidor. Asegúrate de que el certificado SSL sea expedido por una Certificate Authority de confianza. Los certificados autofirmados no están permitidos."
"This is not valid Seller Central configuration JSON","Esta configuración de Seller Central (JSON) no es válida"
"Total %d records found","Total %d entradas encontradas"
"United Kingdom","Reino Unido"
"United States","Estados Unidos"
"URL","URL"
"Use quick configuration option...","Usar opción de configuración rápida..."
"Use responsive widgets","Usar widgets responsivos"
"Use these credentials","Usar estas credenciales"
"Use these credentials and save","Usar estas credenciales y guardar"
"Use your Amazon Account","Utiliza tu cuenta de Amazon"
"Validate Amazon Payments account","Validar cuenta de Amazon Payments"
"View","Vista"
"Wallet widget height","Altura del widget de pagos"
"Wallet widget width","Anchura del widget de pagos"
"Whether to show a toolbox in the checkout for simulating different payment scenarios.","Mostrar herramientas de test en el checkout para simular diferentes escenarios de pago."
"Whoops! Your Access Key ID seems to be invalid.","¡Vaya! Parece que tu ID de clave de acceso no es válido."
"Whoops! Your Merchant ID seems to be invalid.","¡Vaya! Parece que tu ID de vendedor no es válido."
"Whoops! Your Secret Access Key seems to be invalid.","¡Vaya! Parece que tu ID de clave de acceso secreta no es válido."
"With Amazon Pay, you can use the shipping and payment information stored in your Amazon account to place an order on this website. It's a convenient and trusted way to pay that's enjoyed by millions of people.","Con Amazon Pay podrás utilizar la información de envío y pago almacenada en tu cuenta de Amazon para realizar pedidos en la página web. Supone una forma de pago conveniente y fiable que ya disfrutan millones de compradores."
"X-Large","Muy grande"
"You have aborted the login with Amazon. Please contact us or try again.","Has cancelado el inicio de sesión con Amazon. Ponte en contacto con nosotros o inténtalo de nuevo."
"Your language","Tu idioma"
