"--- Select object ---","--- choisir un objet ---"
"--- Select reason code ---","--- choisir une raison ---"
"--- Select state to simulate ---","--- Choisir l'état à simuler ---"
"-OR-","-OU-"
"""Amazon Pay"" button color","""Amazon Pay""-couleur bouton"
"""Amazon Pay"" button size","""Amazon Pay""-bouton taille"
"""Amazon Pay"" button type","""Amazon Pay""-bouton type"
"""Login with Amazon"" button color","""Connectez-vous avec Amazon""-couleur bouton"
"""Login with Amazon"" button size","""Connectez-vous avec Amazon""-bouton taille"
"""Login with Amazon"" button type","""Connectez-vous avec Amazon""-bouton type"
"%s API Call | %s","%s API Call | %s"
"* Required Fields","* Champs requis"
"... or enter your Amazon Payments account information manually","... ou saisissez vos informations de compte Amazon Payments manuellement"
"<div id=""creative-system-config"">creativestyle Extensions</div>","<div id=""creative-system-config"">creativestyle Extensions</div>"
"<span class=""close"">Click to reveal config for </span>%s","<span class=""close"">Cliquez pour afficher la configuration pour </span>%s"
"<span class=""close"">Click to reveal your </span>Amazon Seller Central config","<span class=""close"">Cliquez pour faire apparaître votre </span>configuration Amazon Seller Central"
"<strong>Amazon Pay</strong> helps you shop quickly, safely and securely. You can pay on our website without re-entering your payment and address details.","<strong>Amazon Pay</strong> vous permet d'effectuer des achats rapidement et en toute sécurité. Vous pouvez régler vos achats sur notre site Web sans saisir à nouveau vos informations de paiement et coordonnées."
"<strong>Amazon Pay</strong> helps you shop quickly, safely and securely. You can pay on our website without re-entering your payment and address details. All Amazon transactions are protected by Amazon&apos;s A-to-z Guarantee.","Avec <strong>Amazon Pay</strong> vous pouvez utiliser les adresses et les informations de payments enregistrées dans votre compte Amazon pour accomplir vos achats de façon sûre et rapide. En plus vous profitez de la garantie A-z."
"1 day","1 jour"
"1 hour","1 heure"
"10 minutes","10 minutes"
"12 hours","12 heures"
"14 days","14 jours"
"15 days","15 jours"
"15 minutes","15 minutes"
"2 days","2 jours"
"2 hours","2 heures"
"3 days","3 jours"
"30 days","30 jours"
"30 minutes","30 minutes"
"4 hours","4 heures"
"5 minutes","5 minutes"
"7 days","7 jours"
"8 hours","8 heures"
"A capture of %s has been processed by Amazon Payments (%s). The new status is %s.","Une capture sur %s a été traité par Amazon Payments (%s). Le nouveau status est %s."
"A refund of %s has been processed by Amazon Payments (%s). The new status is %s.","Un remboursement de %s a été traité par Amazon Payments (%s). L'état affiche désormais la mention %s."
"Access Key ID","ID de clé d'accès"
"Account information can be found <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/hz/me/integration/details"">here</a>","Les informations sur le compte se trouvent <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/hz/me/integration/details"">ici</a>"
"Action","Action"
"Add New","Rajouter"
"Address widget height","Hauteur widget des adresses"
"Address widget width","Largeur widget des adresses"
"Allowed IPs (comma separated)","Adresses IP autorisé (séparé par virgule)"
"Allowed JavaScript Origins","Origines JavaScript autorisées"
"Allowed Return URLs","URL de renvoi autorisées"
"Amazon Cronjobs","Tâches Cron Amazon"
"Amazon logo","Logo Amazon"
"Amazon Order Reference ID: %s","Référence de la commande Amazon: %s"
"Amazon Order Reference ID: <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/hz/me/pmd/payment-details?orderReferenceId=%s"">%s</a>","Référence de la commande Amazon: <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/hz/me/pmd/payment-details?orderReferenceId=%s"">%s</a>"
"Amazon Pay","Amazon Pay"
"Amazon Pay (Sandbox)","Amazon Pay (Sandbox)"
"Amazon Pay and Login with Amazon","Amazon Pay et Connectez-vous avec Amazon"
"Amazon Pay and Login with Amazon settings","Configuration Amazon Pay et Connectez-vous avec Amazon"
"Amazon Pay API Call","Amazon Pay API Call"
"Amazon Pay API Calls","Amazon Pay API Calls"
"Amazon Pay Exception","Amazon Pay Exception"
"Amazon Pay Exception | %s","Amazon Pay Exception | %s"
"Amazon Pay Exceptions","Amazon Pay Exceptions"
"Amazon Payments Account","Compte Amazon Payments"
"Amazon Seller Central","Amazon Seller Central"
"An authorization of %s has been processed by Amazon Payments (%s). The new status is %s.","Une autorisation sur %s a été traité par Amazon Payments (%s). Le nouveau status est %s."
"An order of %s has been processed by Amazon Payments (%s). The new status is %s.","Une commande sur %s a été traité par Amazon Payments (%s). Le nouveau status est %s."
"API Call details","détails appel API"
"Appearance Settings","Configuration apparence"
"Appearance Settings for Amazon Pay and Login with Amazon","Configuration avec Amazon Pay et Connectez-vous avec Amazon"
"Appearance Settings for standalone Amazon Pay","Configuration avec Amazon Pay uniquement"
"Asynchronous","Asynchrone"
"Authentication Experience","Idenfication"
"Authorization Processing Mode","Mode d'autorisation"
"Authorize","Autoriser"
"Authorize & capture","Autoriser & capture"
"Auto","Auto"
"Back","Retour"
"By selecting Login with Amazon, you will be asked to sign-in securely to your Amazon account without leaving the shop.","En sélectionnant Connectez-vous avec Amazon, vous serez invité à vous connecter de manière sécurisée à votre compte Amazon sans quitter la boutique."
"Choose your payment region and click to quick-register.","Choisissez votre région de paiement et cliquez pour une inscription rapide."
"Client ID","ID client"
"Cancel","Annuler"
"Code","Code"
"Common Appearance Settings","Configuration générale"
"Congratulations! Your Amazon Payments account settings seem to be OK.","Félicitations! Les paramètres de votre compte Amazon Payments semblent corrects."
"Copy your keys from Seller Central (JSON) and paste them here","Copiez vos clés depuis Seller Central (JSON) et collez-les ici"
"creativestyle Extensions","Extensions creativestyle"
"Dark gray","Gris foncé"
"Data polling frequency","Fréquence polling"
"Date","Date"
"Dear buyer, it looks like you already have an account in this shop. Please enter the password for your shop account here for once to make sure you are the authorized user of this account. We will not ask you for this anymore afterwards.","Cher acheteur, il semble que vous ayez déjà un compte dans cette boutique. Veuillez entrer le mot de passe de votre compte afin de nous assurer que vous êtes l'utilisateur autorisé de ce compte. Nous ne vous demanderons plus ces informations pour la suite."
"Debug data","Données de débogage"
"Declined Payment Email Sender","Expéditeur pour les emails de refus de payment"
"Declined Payment Email Template","Modèle email payment refusé"
"Developer Options","Options dévelopeurs"
"Display Language","Langue d'afficahge"
"Don't have a merchant account yet? Register here","Vous n'avez pas encore de compte marchand? Inscrivez-vous ici"
"Download as CSV","Télécharger sous forme CSV"
"Each logfile will be rotated when it exceeds size of 8 Megabytes","Si la taille du fichier dépasse 8 mégabyte, un nouveau fichier est créé."
"Email Options","Optiones emails"
"Enable Amazon Pay","Amazon Pay activé"
"Enable Instant Payment Notifications","Activer Instant Payment Notifications"
"Enable logging","Activer Logging"
"Enable Login with Amazon","Activer Connectez-vous avec Amazon"
"English","Anglais"
"Enter a value between 200 and 600 pixels. For one-column widget please enter width less than 400.","Entrer une valeur entre 200 et 600 pixels. Pour un widget avec une colonnes, utilisez une valeur de moins de 400."
"Enter a value between 228 and 400 pixels","Entrer une valeur entre 228 et 400 pixels"
"ERP mode","Mode ERP"
"Eurozone","Zone euro"
"Event Observers","Observateurs de l'événement"
"Exception code","Code Exception"
"Exception details","Détails Exception"
"Exception message","Message d'exception"
"Extension documentation","Documentation sur les extensions"
"Extracted XML message","Extractation du message XML"
"French","Français"
"General Info","Informations générales"
"General Settings","Informations générales"
"German","Allemand"
"Germany","Allemagne"
"Gold","Or"
"http://www.creativestyle.net","http://www.creativestyle.net"
"http://www.creativestyle.net/services/magento.html","http://www.creativestyle.de/leistungen/magento.html"
"In Sandbox Mode you can simulate certain states of selected payment objects.","En mode Sandbox vous pouvez simuler certains états pour les objets de payments."
"Installed Magento extensions","Extensions Magento installées"
"Installed PHP modules","Modules PHP installés"
"Invalid password","Mot de passe non valide"
"IPN %s | %s","IPN %s | %s"
"IPN endpoint URL","IPN endpoint URL"
"IPN Notification","IPN Notification"
"IPN Notifications","IPN Notifications"
"Italian","Italien"
"Large","Grand"
"Leave empty for access from any location","Laisser vide pour un accès de n'importe quelle addresse"
"Light gray","Gris clair"
"Login","Connectez-vous"
"Login with Amazon","Connectez-vous avec Amazon"
"Magento Settings","Configuration Magento"
"Manual authorization","Autoriser manuellement"
"Marketplace","Marketplace"
"Medium","Moyen"
"Merchant ID","Numéro marchand"
"Message","Message"
"More about <em>creativestyle</em>","En savoir plus sur <em>creativestyle</em>"
"New order status","Nouvelle commande"
"Next page","Prochaine page"
"No, use data polling instead","Non, utiliser data polling"
"Notification type","Type de notification"
"of %s pages","de %s pages"
"Orange (recommended)","Orange (recommandé)"
"Order status on authorization","Status de la commande après l'autorisation"
"Page","Page"
"Pay","Payer"
"Payment Action","Action de paiement"
"Payment Region","Région de paiement"
"per page","par page"
"Please agree to all the terms and conditions before placing the order.","Veuillez accepter les conditions avant de placer la commande."
"Please enter this URL in the <strong>Allowed JavaScript Origins</strong> field of the <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/gp/pyop/seller/account/settings/user-settings-view.html"">Control Panel</a> in your Amazon Seller Central.","Saisissez cette URL dans le champ <strong>Origines JavaScript autorisées</strong> du <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/gp/pyop/seller/account/settings/user-settings-view.html"">panneau de configuration</a> d'Amazon Seller Central."
"Please enter this URL in the <strong>Allowed Return URLs</strong> field of the <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/gp/pyop/seller/account/settings/user-settings-view.html"">Control Panel</a> in your Amazon Seller Central.","Saisissez cette URL dans le champ <strong>URL de renvoi autorisées</strong> du <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/gp/pyop/seller/account/settings/user-settings-view.html"">panneau de configuration</a> d'Amazon Seller Central."
"Please enter this URL in the <strong>Merchant URL</strong> field of the <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/gp/pyop/seller/account/settings/user-settings-view.html"">Integration Settings</a> in your Amazon Seller Central.","Configurer cette URL dans la champ <strong>URL Marchand</strong> sous <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/gp/pyop/seller/account/settings/user-settings-view.html"">Integration Settings</a> dans la Amazon Seller Central."
"Please fill in required data that cannot be retrieved from your Amazon account.","Renseignez les données requises ne pouvant pas être extraites de votre compte Amazon."
"Please note that the total amount of the order will be charged at order placement.","Veuillez noter que le montant complet est débité lors du passage la commande."
"Please provide all required data.","Fournissez toutes les données requises."
"Pop-up","Pop-up"
"Preview","Aperçu"
"Query","Demande"
"Quick-register Merchant account","Ouvrir rapidement un compte marchand"
"Redirect","Redirection"
"Redirecting, please wait...","Vous allez être redirigé dans un instant..."
"Request Body","Requête Body"
"Request Headers","Requête Headers"
"Response","Réponse"
"Response code","Réponse code"
"Response headers","Réponse headers"
"Sandbox Mode","Mode environnement test"
"Sandbox Toolbox","Boîte à outils de l'environnement test"
"Secret Access Key","Clé d'accès secrète"
"Select appropriate store view scope to display IPN endpoint URL","Sélectionnez le niveau d'accès approprié dans la liste des boutiques pour afficher les URL d'endpoint IPN."
"Select whether an email confirmation for newly placed orders shall be sent by the shop","Indiquez si un e-mail de confirmation doit être envoyé à la boutique pour chaque nouvelle commande."
"Seller Central configuration","Configuration Seller Central"
"Send order confirmation","Confirmation de commande"
"Settings","Configuration"
"Show Sandbox Toolbox","Afficher Sandbox Toolbox"
"Small","Petit"
"Spanish","Espagnol"
"Stack trace","Stack trace"
"Store Options","Store Options"
"Store name","Store name"
"Stores","Boutiques"
"Synchronous","Synchrone"
"Tan","Beige"
"There has been a problem with the selected payment method from your Amazon account, please choose another payment method from you Amazon account or return to the cart to choose another checkout method.","Un problème est survenu avec le mode de paiement sélectionné sur votre compte Amazon. Accédez à votre compte Amazon ou retournez sur le panier pour sélectionner un autre mode de paiement."
"There has been a problem with the selected payment method from your Amazon account, please update the payment method or choose another one.","Un problème est survenu avec le mode de paiement sélectionné sur votre compte Amazon. Mettez à jour le mode de paiement ou sélectionnez-en un autre."
"There was an error processing your order. Please contact us or try again later.","Lors du traitement de votre commande une erreur s'est produite. Veuillez nous contacter ou essayez de nouveau plus tard."
"This extension integrates easily your Magento shop with Amazon Pay service.","Cette extension intègre le service ""Amazon Pay et Connectez-vous avec Amazon"" dans votre shop Magento."
"This feature requires valid SSL certificate to be installed on this server. Pay attention that the SSL certificate must be issued by a trusted Certificate Authority, self-signed certificates are not permitted.","Cette fonctionalité exige l'installation d'un certificat SSL valide sur votre serveur. Faites attention que votre certificate SSL a été émis d'une autorité de certification reconnue. Les certificats de type self-signed ne sont pas acceptés."
"This is not valid Seller Central configuration JSON","Ce fichier n'est pas un fichier de configuration JSON pour Seller Central valide"
"Total %d records found","Total %d entrées trouvées"
"United Kingdom","Royaume-Uni"
"United States","États-Unis"
"URL","URL"
"Use quick configuration option...","Utiliser l'option de configuration rapide..."
"Use responsive widgets","Utiliser des widgets de type responsive"
"Use these credentials","Utiliser ces identifiants"
"Use these credentials and save","Utiliser ces identifiants et enregistrer"
"Use your Amazon Account","Utiliser votre compte Amazon"
"Validate Amazon Payments account","Valider le compte Amazon Payments"
"View","Vue"
"Wallet widget height","Hauteur widget payements"
"Wallet widget width","Largeur widget payements"
"Whether to show a toolbox in the checkout for simulating different payment scenarios.","Option pour activer la Toolbox qui permet de simuler certains scénarios de payment (refus inclus) dans le mode Sandbox"
"Whoops! Your Access Key ID seems to be invalid.","Désolé. Il semblerait que votre ID de clé d'accès ne soit pas valide."
"Whoops! Your Merchant ID seems to be invalid.","Désolé. Il semblerait que votre identifiant marchand ne soit pas valide."
"Whoops! Your Secret Access Key seems to be invalid.","Désolé. Il semblerait que votre clé d'accès secrète ne soit pas valide."
"With Amazon Pay, you can use the shipping and payment information stored in your Amazon account to place an order on this website. It's a convenient and trusted way to pay that's enjoyed by millions of people.","Amazon Pay vous permet d'utiliser les informations de paiement et d'expédition stockées dans votre compte Amazon pour passer une commande sur ce site Web. Des millions d'utilisateurs bénéficient déjà de ce mode de paiement simple et éprouvé."
"X-Large","Très grand"
"You have aborted the login with Amazon. Please contact us or try again.","Vous avez abandonné la connexion avec Amazon. Contactez-nous ou réessayez plus tard."
"Your language","Votre langue"
